sentiment,text,user
"positive","RT @byLilyV: #FEATURED #COURSES\n\nMachine Learning, Data Science and Deep Learning with Python\n\nComplete hands-on #machine #learning tutoria…","devvibesbot"
"positive","RT @AustraliaAi: Data science: Australian mining's new hammer and axe? - Mining Technology https://t.co/SIjAEDrcPk #ai #artificialintellige…","TheCuriousLuke"
"negative","RT @burtmonroe: Hey, computational social science types! Postdoc opportunity with @CSoDA_PSU Penn State Center for Social Data Analytics. A…","alanGeoVISTA"
"positive","Data science: Australian mining's new hammer and axe? - Mining Technology https://t.co/SIjAEDrcPk #ai… https://t.co/Fl0uggBsgg","AustraliaAi"
"neutral","points dont hold up to lived experiences &amp; the science. As a person w the disease, a practitioner of EBM &amp; dealt w/… https://t.co/wPCVjSBzjU","XtraNotRare"
"positive","RT @ISS_Research: The white boxes hanging off the side of the @Space_Station are powerful science instruments providing valuable data on Ea…","zchitsu"
"neutral","RT @VectorScient: VectorScient’s Analyses, Insights, Interpretations, and Recommendations (AIIR™) platform orchestrates the entire data sci…","vedakonduru"
"neutral","Data Science (MIT Press Essential Knowledge series) #DataScience https://t.co/nHBemtQHMk","DD_Bun_"
"positive","RT @bunsenbernerbmd: Good news on the Pfizer vaccine front!\nThe new data shows it is 91% effective 6 months later against getting #Covid19…","YoumeteaSza4"
"neutral","Steven Wernke and Parker VanValkenburgh talk about the impact of big data and how archaeology is going digital.\nRea… https://t.co/Gi98qeuFLB","CHG_HERITAGE"
"negative","RT @staceyNYCDC: @jbouie By simply boiling the issue down to data science you also miss what these restrictions communicate about who is “w…","DaveDealFilms"
"neutral","RT @Stonekettle: ...data, information, machine connectivity, science, medicine, technology, education, and all the things that make our inc…","ecclesias"
"neutral","RT @rasangarocks: Data Science for Beginners: 4 Books in 1: Python Programming, Data Analysis, Machine Learning\n\nLink - https://t.co/NEo26h…","Joffreybvn"
"neutral","@apjanke @tableau there's also an #austintx area virtual data Science meetup happening on the 6th that I told him t… https://t.co/38K6TfkgIi","bryanbrake"
"neutral","RT @rasangarocks: Data Science for Beginners: 4 Books in 1: Python Programming, Data Analysis, Machine Learning\n\nLink - https://t.co/NEo26h…","BotFemale"
"neutral","RT @rasangarocks: Data Science for Beginners: 4 Books in 1: Python Programming, Data Analysis, Machine Learning\n\nLink - https://t.co/NEo26h…","SigularityHub"
"positive","RT @byLilyV: #FEATURED #COURSES\n\nMachine Learning, Data Science and Deep Learning with Python\n\nComplete hands-on #machine #learning tutoria…","BlkHwk0ps"
